instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,overlap_H_R,overlap_H_CF,overlap_H_RO,overlap_R_CF,overlap_R_RO,overlap_CF_RO,rbo_H_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,ecs_extraction_rationale,ecs_extraction_perturbation,ecs_primary_pairs,cf_flip_verified,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
mnli_validation_matched_007919,mnli,llama-3.3-70b-versatile,neutral,entailment,0.0,False,False,1885,273,82c03589065d7755,1.0,0.0,,0.0,,,1.0,0.0,,0.0,,,,,,0.3333333333333333,1.0,0.0,2,True,neutral,True,True,True,False,0,0
mnli_validation_matched_008565,mnli,llama-3.3-70b-versatile,entailment,entailment,0.0,True,False,3547,575,f71b2f7bec2f3b88,0.75,0.25,0.8,0.0,0.6,0.2,1.0,1.0,1.0,0.0,1.0,1.0,0.11318849999999996,,,0.36,0.75,0.25,2,True,contradiction,True,True,True,True,4,0
mnli_validation_matched_009319,mnli,llama-3.3-70b-versatile,neutral,entailment,0.0,False,False,4016,629,37f688ab6ac9c2c5,0.42857142857142855,,0.6666666666666666,,0.42857142857142855,,0.6,,0.8,,0.6,,0.39005267660714277,,,0.42857142857142855,0.42857142857142855,,1,False,entailment,True,True,False,True,2,2
mnli_validation_matched_007354,mnli,llama-3.3-70b-versatile,entailment,entailment,0.0,True,False,2483,384,d03a6bac45bd33be,0.0,,0.6666666666666666,,0.0,,0.0,,1.0,,0.0,,0.16169399999999998,,,0.0,0.0,,1,False,,True,True,False,True,0,0
mnli_validation_matched_007556,mnli,llama-3.3-70b-versatile,entailment,entailment,0.0,True,False,4690,756,b8619d83a5f459e3,0.18181818181818182,,0.3333333333333333,,0.1,,0.3333333333333333,,0.6,,0.2,,0.09132516353571428,,,0.14090909090909093,0.18181818181818182,,1,False,entailment,True,True,False,True,0,0
mnli_validation_matched_006801,mnli,llama-3.3-70b-versatile,contradiction,contradiction,0.0,True,False,3220,594,a23647bceb96e5d0,0.14285714285714285,0.2857142857142857,0.5,0.0,0.25,0.2,0.5,0.6666666666666666,1.0,0.0,0.5,0.3333333333333333,0.10517145107142856,,,0.1757142857142857,0.14285714285714285,0.2857142857142857,2,True,entailment,True,True,True,True,2,0
mnli_validation_matched_005549,mnli,llama-3.3-70b-versatile,neutral,neutral,0.0,True,False,3999,609,573b8c907f1848b8,0.7777777777777778,,0.3333333333333333,,0.2727272727272727,,1.0,,0.6,,0.6,,0.04251293678571428,,,0.5252525252525253,0.7777777777777778,,1,False,neutral,True,True,False,True,3,3
mnli_validation_matched_006492,mnli,llama-3.3-70b-versatile,neutral,contradiction,0.0,False,False,2588,341,aae0ec2710ab04a3,0.75,,0.5,,0.4,,1.0,,0.6666666666666666,,0.6666666666666666,,0.0,,,0.575,0.75,,1,False,contradiction,True,True,False,True,2,2
mnli_validation_matched_009361,mnli,llama-3.3-70b-versatile,neutral,entailment,0.0,False,False,2086,345,dde94c5611b7520a,0.2,0.3333333333333333,,0.0,,,0.3333333333333333,1.0,,0.0,,,,,,0.17777777777777778,0.2,0.3333333333333333,2,True,contradiction,True,True,True,False,0,0
mnli_validation_matched_004122,mnli,llama-3.3-70b-versatile,contradiction,contradiction,0.0,True,False,3573,1105,2e0f12cf98d38bf9,0.45454545454545453,0.2222222222222222,0.2,0.0,0.1111111111111111,0.25,0.7142857142857143,1.0,0.6666666666666666,0.0,0.3333333333333333,0.5,0.21837889014437492,,,0.20757575757575758,0.45454545454545453,0.2222222222222222,2,True,entailment,True,True,True,True,2,0
ag_news_test_004983,ag_news,llama-3.3-70b-versatile,Sci/Tech,Sci/Tech,0.0,True,False,3317,488,d090938e39303f01,0.5,0.6666666666666666,0.375,0.75,0.14285714285714285,0.2857142857142857,1.0,1.0,0.6,1.0,0.3333333333333333,0.5,0.007592014285714285,,,0.469047619047619,0.5,0.6666666666666666,2,True,Business,True,True,True,True,4,1
ag_news_test_001223,ag_news,llama-3.3-70b-versatile,Business,Business,0.0,True,False,4230,580,9d013e566f583003,0.7142857142857143,,0.7142857142857143,,1.0,,1.0,,1.0,,1.0,,0.17255005714285715,-0.3333333333333334,0.33333333333333326,0.8571428571428572,0.7142857142857143,,1,False,Business,True,True,False,True,5,5
ag_news_test_003283,ag_news,llama-3.3-70b-versatile,Sports,Sports,0.0,True,False,4925,635,beec350a2cad1584,0.3333333333333333,,0.5555555555555556,,0.3333333333333333,,1.0,,1.0,,0.6666666666666666,,0.10489588907142858,,,0.3333333333333333,0.3333333333333333,,1,False,Sports,True,True,False,True,2,2
